Stories,,,,
Sales by Items By Group,,,,
ARABESCHI COCCO SNAK,,4.0,"380.18",
CRUMBLE LEMON,,16.0,"1,629.43",
VARIEGATO WAFER PISTACHIO,,39.0,"4,342.34",
Total by Group: LUXURY TOPPINGS,,3452.0,"364,830.60",
Group: FROZEN YOGHURT,,,,
ORIGINAL YOGHURT SMALL,,340.0,"109,480.12",
19-Jan-26,Years:2025 Months:0,,Page 11 of, 359
Description,Barcode,Qty,Total Amount,
ORIGINAL YOGHURT MEDIUM,,178.5,"64,137.27",
ORIGINAL YOGHURT X-LARGE,,4.5,"2,229.73",
ORIGINAL YOGHURT COMBO SMALL,,2858.1,"991,199.31",
ORIGINAL YOGHURT COMBO MEDIUM,,1436.5,"600,877.40",
ORIGINAL YOGHURT COMBO X-LARGE,,309.0,"172,412.84",
CHOCOLATE YOGHURT SMALL,,85.0,"27,048.09",
CHOCOLATE YOGHURT MEDIUM,,42.5,"15,257.39",
CHOCOLATE YOGHURT X-LARGE,,1.0,"466.67",
CHOCOLATE YOGHURT COMBO SMALL,,948.6,"321,820.00",
CHOCOLATE YOGHURT COMBO MEDIUM,,435.0,"179,058.83",
CHOCOLATE YOGHURT COMBO X-LARGE,,78.5,"44,457.39",
OREO CREAM YOGHURT SMALL,,1.0,"330.00",
OREO CREAM YOGHURT MEDIUM,,0.5,"165.17",
MANGO YOGHURT SMALL,,266.5,"85,722.60",
MANGO YOGHURT COMBO SMALL,,3339.25,"1,113,476.88",
MANGO YOGHURT MEDIUM,,90.0,"32,253.15",
MANGO YOGHURT COMBO MEDIUM,,1729.7,"717,999.40",
MANGO YOGHURT X-LARGE,,8.0,"3,906.31",
MANGO YOGHURT COMBO X-LARGE,,293.1,"162,980.10",
PISTACHIO YOGHURT SMALL,,6.0,"2,490.00",
PISTACHIO YOGHURT COMBO SMALL,,37.0,"14,218.33",
PISTACHIO YOGHURT COMBO MEDIUM,,9.5,"4,760.00",
PISTACHIO YOGHURT COMBO X-LARGE,,2.5,"1,693.33",
LOTUS YOGHURT SMALL,,24.0,"7,696.59",
LOTUS YOGHURT MEDIUM,,18.5,"6,523.33",
LOTUS YOGHURT COMBO SMALL,,475.0,"147,658.20",
LOTUS YOGHURT COMBO MEDIUM,,241.0,"98,694.65",
LOTUS YOGHURT COMBO X-LARGE,,42.5,"23,935.98",
POMEGRANATE YOGHURT SMALL,,21.5,"6,800.63",
POMEGRANATE YOGHURT COMBO SMALL,,215.75,"67,476.67",
POMEGRANATE YOGHURT COMBO MEDIUM,,87.0,"34,925.00",
POMEGRANATE YOGHURT MEDIUM,,2.5,"866.67",
POMEGRANATE YOGHURT COMBO X-LARGE,,13.5,"7,113.33",
TASTING CUP MANGO,,180.0,0.00,
TASTING CUP CHOCOLATE,,127.0,0.00,
TASTING CUP OREO,,3.0,0.00,
TASTING CUP POMEGRANATE,,6.0,0.00,
19-Jan-26,Years:2025 Months:0,,Page 12 of, 359
Description,Barcode,Qty,Total Amount,
TASTING CUP SPECULOSE LOTUS,,23.0,0.00,
TASTING CUP ORIGINAL YOUGHURT,,207.0,0.00,
BLUEBERRY YOGHURT SMALL,,95.5,"30,848.21",
BLUEBERRY YOGHURT COMBO SMALL,,1332.8,"445,925.35",
BLUEBERRY YOGHURT MEDIUM,,34.5,"12,414.26",
BLUEBERRY YOGHURT COMBO MEDIUM,,684.1,"286,197.39",
BLUEBERRY YOGHURT X-LARGE,,3.5,"1,734.23",
BLUEBERRY YOGHURT COMBO X-LARGE,,120.0,"68,218.65",
TASTING CUP BLUEBERRY,,75.0,0.00,
TASTING CUP PISTACHIO,,11.0,0.00,
LOTUS SPREAD YOGHURT COMBO MEDIUM,,153.0,"63,692.19",
LOTUS SPREAD YOGHURT COMBO SMALL,,351.5,"112,378.38",
LOTUS SPREAD YOGHURT COMBO X-LARGE,,47.5,"26,214.71",
LOTUS SPREAD YOGHURT MEDIUM,,4.0,"1,453.45",
LOTUS SPREAD YOGHURT SMALL,,23.0,"7,477.48",
LOTUS SPREAD YOGHURT X-LARGE,,1.0,"495.50",
TASTING CUP LOTUS SPREAD,,71.0,0.00,
Total by Group: FROZEN YOGHURT,,17194.9,"6,127,181.16",
Group: SPECIALTY YOGHURT,,,,
RICOTTA YOGHURT SMALL,,7.0,"2,130.00",
RICOTTA YOGHURT COMBO SMALL,,11.5,"3,866.67",
RICOTTA YOGHURT COMBO MEDIUM,,3.0,"1,200.00",
TASTING CUP RICOTTA,,9.0,0.00,
Total by Group: SPECIALTY YOGHURT,,30.5,"7,196.67",
Total by Division: FROZEN YOGHURT,,80554.4000000000,"6,778,780.74",
Division: PLAT DE JOUR,,,,
Group: PLAT DU JOUR,,,,
KIBBEB B LABAN,,42.0,"26,486.49",
FREEKEH WITH CHICKEN,,36.0,"22,891.89",
LASAGNA,,44.0,"27,747.75",
ORIENTAL RICE,,36.0,"22,765.77",
SHAKRIYEH,,24.0,"15,198.20",
