Stories,,,,,,,,,
Theoretical Profit By Item,,,,,,,,,
22-Jan-26,,,Years:2025 Month:0,,,,Page 1 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
Stories - Bir Hasan,,,,,,,,,
TAKE AWAY,,,,,,,,,
BEVERAGES,,,,,,,,,
COLD BAR SECTION,,,,,,,,,
CRUMBLE LEMON,14.00,"1,425.23",,"484.01",33.96,"941.22",,66.04,
CRUMBOLE PISTACHIO,70.00,"7,079.94",,"3,940.68",55.66,"3,139.25",,44.34,
CRUMBOLE RED BERRIES,47.00,"4,788.41",,"1,680.92",35.10,"3,107.49",,64.90,
GRANOLLA,96.00,"6,502.88",,"513.07",7.89,"5,989.82",,92.11,
GRANOLLA COMBO,"2,106.00",0.00,,"11,255.37",0.00,"-11,255.37",,100.00,
GUMMY BEARS,98.00,"6,882.10",,"723.61",10.51,"6,158.49",,89.49,
GUMMY BEARS COMBO,"2,157.00",0.00,,"15,926.75",0.00,"-15,926.75",,100.00,
HONEY,64.00,"4,526.85",,"575.05",12.70,"3,951.80",,87.30,
HONEY COMBO,82.00,0.00,,"736.78",0.00,"-736.78",,100.00,
LOTUS BISCUIT COMBO,"2,222.00",0.00,,"24,233.20",0.00,"-24,233.20",,100.00,
LOTUS BISCUITS,134.00,"9,381.98",,"1,461.41",15.58,"7,920.57",,84.42,
LOTUS SPREAD YOGHURT COMBO MEDIUM,82.50,"33,944.44",,"5,736.83",16.90,"28,207.61",,83.10,
LOTUS SPREAD YOGHURT COMBO SMALL,220.50,"67,633.63",,"11,706.96",17.31,"55,926.68",,82.69,
LOTUS SPREAD YOGHURT COMBO X-LARGE,19.00,"10,337.84",,"2,145.61",20.75,"8,192.22",,79.25,
LOTUS SPREAD YOGHURT SMALL,10.50,"3,348.35",,"557.47",16.65,"2,790.87",,83.35,
LOTUS YOGHURT COMBO MEDIUM,213.00,"86,661.44",,"27,146.66",31.32,"59,514.78",,68.68,
LOTUS YOGHURT COMBO SMALL,431.50,"135,425.77",,"41,651.22",30.76,"93,774.54",,69.24,
LOTUS YOGHURT COMBO X-LARGE,35.50,"19,931.29",,"7,298.30",36.62,"12,632.99",,63.38,
22-Jan-26,,,Years:2025 Month:0,,,,Page 11 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
LOTUS YOGHURT MEDIUM,14.50,"5,056.67",,"1,848.01",36.55,"3,208.65",,63.45,
LOTUS YOGHURT SMALL,16.50,"5,220.60",,"1,592.69",30.51,"3,627.91",,69.49,
MANGO,261.00,"19,226.13",,"3,205.20",16.67,"16,020.93",,83.33,
MANGO COMBO,"5,752.00",0.00,,"70,637.21",0.00,"-70,637.21",,100.00,
MANGO YOGHURT COMBO MEDIUM,"1,242.70","510,697.48",,"106,221.12",20.80,"404,476.35",,79.20,
MANGO YOGHURT COMBO SMALL,"2,650.75","871,644.60",,"172,422.83",19.78,"699,221.76",,80.22,
MANGO YOGHURT COMBO X-LARGE,192.50,"106,347.37",,"26,647.59",25.06,"79,699.78",,74.94,
MANGO YOGHURT MEDIUM,43.00,"15,264.86",,"3,675.47",24.08,"11,589.39",,75.92,
MANGO YOGHURT SMALL,175.00,"55,601.31",,"11,383.19",20.47,"44,218.11",,79.53,
MANGO YOGHURT X-LARGE,6.00,"2,915.32",,"830.57",28.49,"2,084.74",,71.51,
MARSHMALLOW,204.00,"14,123.00",,"1,217.20",8.62,"12,905.80",,91.38,
MARSHMALLOW COMBO,"2,897.00",0.00,,"17,285.43",0.00,"-17,285.43",,100.00,
MIXED NUTS,48.00,"3,254.95",,"738.91",22.70,"2,516.04",,77.30,
MIXED NUTS COMBO,815.00,0.00,,"12,546.11",0.00,"-12,546.11",,100.00,
OATS,32.00,"2,178.26",,"73.51",3.37,"2,104.75",,96.63,
OATS COMBO,226.00,0.00,,"519.16",0.00,"-519.16",,100.00,
OREO,185.00,"12,970.33",,"1,519.15",11.71,"11,451.18",,88.29,
OREO COMBO,"1,961.00",0.00,,"16,102.94",0.00,"-16,102.94",,100.00,
OREO CREAM YOGHURT MEDIUM,0.50,"165.17",,"50.11",30.34,"115.06",,69.66,
OREO CREAM YOGHURT SMALL,1.00,"330.00",,"76.10",23.06,"253.90",,76.94,
ORIGINAL YOGHURT COMBO MEDIUM,"1,009.50","418,010.19",,"101,849.62",24.37,"316,160.58",,75.63,
ORIGINAL YOGHURT COMBO SMALL,"2,213.10","756,699.76",,"169,541.42",22.41,"587,158.34",,77.59,
ORIGINAL YOGHURT COMBO X-LARGE,214.00,"118,524.07",,"34,901.94",29.45,"83,622.13",,70.55,
ORIGINAL YOGHURT MEDIUM,116.50,"41,592.22",,"11,753.82",28.26,"29,838.40",,71.74,
ORIGINAL YOGHURT SMALL,215.00,"68,540.75",,"16,470.74",24.03,"52,070.01",,75.97,
ORIGINAL YOGHURT X-LARGE,2.00,"990.99",,"326.19",32.92,"664.80",,67.08,
PINEAPPLE,167.00,"11,523.36",,"3,060.07",26.56,"8,463.30",,73.44,
PINEAPPLE COMBO,"3,334.00",0.00,,"61,091.40",0.00,"-61,091.40",,100.00,
PISTACHIO CRUNCH,906.00,"94,723.51",,"68,459.48",72.27,"26,264.03",,27.73,
PISTACHIO YOGHURT COMBO MEDIUM,9.00,"4,510.00",,"2,927.03",64.90,"1,582.97",,35.10,
PISTACHIO YOGHURT COMBO SMALL,35.00,"13,568.33",,"8,570.05",63.16,"4,998.28",,36.84,
PISTACHIO YOGHURT COMBO X-LARGE,0.50,"300.00",,"261.01",87.00,"38.99",,13.00,
PISTACHIO YOGHURT SMALL,3.00,"1,170.00",,"734.58",62.78,"435.42",,37.22,
POMEGRANATE YOGHURT COMBO MEDIUM,83.50,"33,405.00",,"7,473.46",22.37,"25,931.54",,77.63,
22-Jan-26,,,Years:2025 Month:0,,,,Page 12 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
POMEGRANATE YOGHURT COMBO SMALL,209.75,"65,310.00",,"14,276.98",21.86,"51,033.02",,78.14,
POMEGRANATE YOGHURT COMBO X-LARGE,13.00,"6,820.00",,"1,883.33",27.61,"4,936.67",,72.39,
POMEGRANATE YOGHURT MEDIUM,2.50,"866.67",,"223.76",25.82,"642.91",,74.18,
POMEGRANATE YOGHURT SMALL,19.50,"6,170.00",,"1,327.30",21.51,"4,842.70",,78.49,
SPRINKLES,90.00,"6,331.83",,"338.31",5.34,"5,993.52",,94.66,
SPRINKLES COMBO,"1,389.00",0.00,,"5,221.25",0.00,"-5,221.25",,100.00,
STRAWBERRY,414.00,"30,021.44",,"6,008.24",20.01,"24,013.20",,79.99,
STRAWBERRY COMBO,"7,817.00",0.00,,"113,445.47",0.00,"-113,445.47",,100.00,
TASTING CUP BLUEBERRY,52.00,0.00,,"498.68",0.00,"-498.68",,100.00,
TASTING CUP CHOCOLATE,101.00,0.00,,"871.65",0.00,"-871.65",,100.00,
TASTING CUP LOTUS SPREAD,59.00,0.00,,"396.13",0.00,"-396.13",,100.00,
TASTING CUP MANGO,147.00,0.00,,"1,418.62",0.00,"-1,418.62",,100.00,
TASTING CUP OREO,3.00,0.00,,"33.37",0.00,"-33.37",,100.00,
TASTING CUP ORIGINAL YOUGHURT,176.00,0.00,,"1,733.51",0.00,"-1,733.51",,100.00,
TASTING CUP PISTACHIO,6.00,0.00,,"201.75",0.00,"-201.75",,100.00,
TASTING CUP POMEGRANATE,6.00,0.00,,"44.12",0.00,"-44.12",,100.00,
TASTING CUP SPECULOSE LOTUS,21.00,0.00,,"290.80",0.00,"-290.80",,100.00,
VARIEGATO WAFER,34.50,"3,530.00",,"1,713.70",48.55,"1,816.30",,51.45,
VARIEGATO WAFER PISTACHIO,9.00,"930.93",,"579.96",62.30,"350.97",,37.70,
WAFER ROLL,66.00,"4,651.11",,"469.00",10.08,"4,182.11",,89.92,
